"","file","type","description"
"livneh_source","data/source/livneh","directory","source bz2 archives containing Livneh NetCDF data"
"livneh_uyrw","data/prepared/livneh_uyrw.rds","R list object","Livneh meteorological data (1950-2013) clipped to UYRW"
"livneh_rasters","data/prepared/livneh_uyrw_rasters","directory","storage for clipped Livneh data as multiband rasters"
"daymet_source","data/source/daymet","directory","source NetCDF files from Daymet Web Services"
"daymet_uyrw","data/prepared/daymet_uyrw.rds","R list object","storage for Daymet data clipped to UYRW"
"daymet_rasters","data/prepared/daymet_uyrw_rasters","directory","storage for clipped Daymet data as multiband rasters"
"pnwnamet_source","data/source/pnwnamet","directory","source NetCDF files from PCIC PNWNAmet"
"pnwnamet_uyrw","data/prepared/pnwnamet_uyrw.rds","R list object","storage for PNWNAmet data clipped to UYRW"
"pnwnamet_rasters","data/prepared/pnwnamet_uyrw_rasters","directory","storage for clipped PNWNAmet data as multiband rasters"
"metadata","data/get_meteo_metadata.csv","CSV","list files of files written by get_meteo.R"
