"","file","type","description"
"soils_acodes","data/prepared/nrcs_acodes.rds","R sf object","survey area polygons in the UYRW area corresponding to NRCS Soil Data Mart products"
"soils_sdm","data/source/nrcs","directory","NRCS Soil Data Mart products (subfolders correspond to FedData calls using soils_acodes)"
"ssurgo_sf","data/prepared/ssurgo_sf.rds","R sf object","SSURGO soils mapping units for UYRW, derived from soils_sdm"
"ssurgo_tab","data/prepared/ssurgo_tab.rds","R list object","SSURGO tabular data for the UYRW area (a list of data frames), derived from soils_sdm"
"statsgo_sf","data/prepared/statsgo_sf.rds","R sf object","STATSGO2 soils mapping units for UYRW, derived from soils_sdm"
"statsgo_tab","data/prepared/statsgo_tab.rds","R list object","STATSGO2 tabular data for the UYRW area (a list of data frames), derived from soils_sdm"
"ssurgo_incomplete_sfc","data/prepared/ssurgo_incomplete_sfc.rds","R sfc object","areas in URYW with incomplete SSURGO coverage, derived from ssurgo_sf and ssurgo_tab"
"soils_merged_sf","data/prepared/soils_merged_sf.rds","R sf object","merged STATSGO2/SSURGO soil mapping units for UYRW"
"soils_merged_tab","data/prepared/soils_merged_tab.rds","R list object","merged STATSGO2/SSURGO tabular data for the UYRW area (a list of data frames)"
"swat_usersoil","data/prepared/swat_usersoil.csv","CSV","soil data input CSV for SWAT+, derived from soils_merged_tab"
"swat_lookup","data/prepared/swat_soil_lookup.csv","CSV","integer code to mukey (MUID) table for SWAT+, connects swat_tif to swat_usersoil"
"swat_tif","data/prepared/swat_soil.tif","GeoTIFF","map unit (mukey) raster for SWAT+, connected to swat_usersoil by swat_lookup"
"img_soils","graphics/soils.png","png graphic","image of map units with SSURGO/STATSGO2 data in the UYRW"
"img_soils_wstor","graphics/soils_wstor.png","png graphic","image of soil water storage for the UYRW"
"metadata","data/get_soils_metadata.csv","CSV","list files of files written by get_soils.R"
