"","file","type","description"
"swat_source","data/prepared/qswat","directory","QSWAT I/O directory"
"swat_proj","data/prepared/qswat/millcreek","directory","QSWAT project directory"
"swat_qgz","data/prepared/qswat/millcreek.qgz","QGIS project file","QGIS project file for QSWAT3 worflow"
"swat_boundary","data/prepared/qswat/swat_boundary.rds","sf polygon object","polygon identifying subset of UYRW to set up QSWAT"
"swat_dem_tif","data/prepared/qswat/swat_dem.tif","GeoTIFF","SWAT DEM"
"swat_landuse_tif","data/prepared/qswat/swat_landuse.tif","GeoTIFF","SWAT land use classification"
"swat_soils_tif","data/prepared/qswat/swat_soil.tif","GeoTIFF","SWAT soils classification, maps to soil table in SWAT database"
"swat_landuse_lookup","data/prepared/qswat/swat_landuse_lookup.csv","CSV","integer code for swat_landuse_tif, maps to `crop` table in SWAT database"
"swat_soil_lookup","data/prepared/qswat/swat_soils_lookup.csv","CSV","integer code for swat_soils_tif, maps to `usersoil` table in SWAT database"
"swat_outlets","data/prepared/qswat/swat_outlets.shp","ESRI Shapefile","outlet point locations, used by SWAT to delineate subbasins"
"swat_streams","data/prepared/qswat/swat_streams.shp","ESRI Shapefile","stream geometries to ""burn"" into DEM prior to running TauDEM"
"metadata","data/make_qswat_metadata.csv","CSV","list files of files written by make_qswat.R"
