"","file","type","description"
"swat_source","data/prepared/qswatplus","directory","QSWAT+ project source files"
"swat_dem_tif","data/prepared/qswatplus/swat_dem.tif","GeoTIFF","DEM cropped to UYRW boundary, with outside areas designated NA"
"swat_landuse_tif","data/prepared/qswatplus/swat_landuse.tif","GeoTIFF","SWAT+ land use classification, maps to swat_landuse_lookup"
"swat_soils_tif","data/prepared/qswatplus/swat_soil.tif","GeoTIFF","SWAT+ soils classification, maps to swat_soils_lookup"
"swat_landuse_lookup","data/prepared/qswatplus/swat_landuse_lookup.csv","CSV","swat_landuse_tif integer code lookup table, maps to plants_plt SWAT+ dataset"
"swat_soils_lookup","data/prepared/qswatplus/swat_soil_lookup.csv","CSV","integer code to mukey (MUID) table for SWAT+, connects swat_soils_tif to swat_usersoil"
"swat_usersoil","data/prepared/qswatplus/swat_usersoil.csv","CSV","soil database for SWAT+, contains attributes for swat_soils_tif"
"swat_outlets","data/prepared/qswatplus/swat_outlets.shp","ESRI Shapefile","outlet point locations, used by SWAT+ to delineate subbasins"
"swat_lakes","data/prepared/qswatplus/swat_lakes.shp","ESRI Shapefile","polygons in the UYRW representing water bodies"
"swat_streams","data/prepared/qswatplus/swat_streams.shp","ESRI Shapefile","stream geometries to ""burn"" into DEM prior to running TauDEM"
"metadata","data/make_qswatplus_metadata.csv","CSV","list files of files written by make_qswatplus.R"
