"","file","type","description"
"poi","data/uyrw_poi.rds","R list object","points of interest in the watershed"
"crs","data/uyrw_crs.rds","R list object","details of projection/extent for the project"
"nhd","data/source/uyrw_nhd.gpkg","geopackage","source geometries from NHDPlus"
"boundary","data/prepared/uyrw_nhd_boundary.rds","R sfc object","UYRW watershed boundary polygon derived from NHDPlus catchements"
"mainstem","data/prepared/uyrw_nhd_mainstem.rds","R sfc object","UYR main stem line geometry derived from NHDPlus flowlines"
"catchment","data/prepared/uyrw_nhd_catchment.rds","R sfc object","reprojected/repaired NHDPlus catchment polygons"
"waterbody","data/prepared/uyrw_nhd_waterbody.rds","R sfc object","reprojected/repaired NHDPlus water body polygons"
"flowline","data/prepared/uyrw_nhd_flowline.rds","R sfc object","reprojected/repaired NHDPlus flowline geometries"
"img_flowlines","graphics/uyrw_flowlines.png","png graphic","image of flowlines in the UYRW with placenames"
"img_basins","graphics/uyrw_basins.png","png graphic","image of some 4000 drainage basins in the UYRW"
